mocap        : /home/roahm/go2_hopscotch_rl_controller/example/go2/low_level/xyz_go2.npz
run trace    : /home/roahm/go2_hopscotch_rl_controller/example/go2/low_level/data/runA_650_runA_meta_r0p75_traj_hopscotch_friction_6cm_lsq_20260807_202548/runA_650_runA_meta_r0p75_traj_hopscotch_friction_6cm_lsq_20260807_202548.npz
plan         : /home/roahm/go2_hopscotch_rl_controller/example/go2/low_level/hopscotch_utils/traj_hopscotch_friction_6cm_lsq.json
sync         : t0 2.964 s into the recording, correlation r 0.977
frame        : yaw -27.6 deg, zeroed on the first 0.2 s

                    apex z      gain  fwd travel
            plan   0.4564m   0.2260m     0.6003m
           vicon   0.4672m   0.2405m     0.5212m

   flight window   plan apex  vicon apex     delta
      0.40-0.70s     0.1999m     0.2033m  +0.0035m
      1.10-1.40s     0.2188m     0.2405m  +0.0216m
      1.90-2.20s     0.2260m     0.2138m  -0.0122m
      2.70-3.00s     0.2043m     0.1679m  -0.0364m

   axis    RMS err   max|err|     final
      x    0.0610m    0.1292m  -0.0819m
      y    0.0845m    0.1532m  -0.0016m
      z    0.0205m    0.0603m  -0.0046m
