mocap        : /home/roahm/go2_hopscotch_rl_controller/example/go2/low_level/xyz_go2.npz
run trace    : /home/roahm/go2_hopscotch_rl_controller/example/go2/low_level/data/runA_650_runA_meta_r0p75_traj_hopscotch_friction_6cm_lsq_20260807_201706/runA_650_runA_meta_r0p75_traj_hopscotch_friction_6cm_lsq_20260807_201706.npz
plan         : /home/roahm/go2_hopscotch_rl_controller/example/go2/low_level/hopscotch_utils/traj_hopscotch_friction_6cm_lsq.json
sync         : t0 2.433 s into the recording, correlation r 0.967
frame        : yaw -46.1 deg, zeroed on the first 0.2 s

                    apex z      gain  fwd travel
            plan   0.4564m   0.2260m     0.6003m
           vicon   0.5092m   0.2803m     0.4221m

   flight window   plan apex  vicon apex     delta
      0.40-0.70s     0.1999m     0.2296m  +0.0298m
      1.10-1.40s     0.2188m     0.2803m  +0.0615m
      1.90-2.20s     0.2260m     0.2249m  -0.0012m
      2.70-3.00s     0.2043m     0.2147m  +0.0104m

   axis    RMS err   max|err|     final
      x    0.1019m    0.2302m  -0.1795m
      y    0.1410m    0.2806m  -0.1156m
      z    0.0316m    0.1198m  -0.0148m
