mocap        : /home/roahm/go2_hopscotch_rl_controller/example/go2/low_level/xyz_go2.npz
run trace    : /home/roahm/go2_hopscotch_rl_controller/example/go2/low_level/data/kpw22_1499_kpw22_meta_kin_long_stride_20260819_174725/kpw22_1499_kpw22_meta_kin_long_stride_20260819_174725.npz
plan         : /home/roahm/go2_hopscotch_rl_controller/example/go2/low_level/hopscotch_utils/long_stride.npz
sync         : t0 5.154 s into the recording, correlation r 0.952
frame        : yaw +15.9 deg, zeroed on the first 0.2 s

                    apex z      gain  fwd travel
            plan   0.4388m   0.2086m     1.2000m
           vicon   0.4484m   0.2413m     1.2318m

   flight window   plan apex  vicon apex     delta
      0.40-0.70s     0.1975m     0.2047m  +0.0073m
      1.10-1.40s     0.1975m     0.2141m  +0.0166m
      1.90-2.20s     0.2086m     0.1955m  -0.0131m
      2.70-3.00s     0.2025m     0.2413m  +0.0388m

   axis    RMS err   max|err|     final
      x    0.0946m    0.2172m   0.0198m
      y    0.0762m    0.1279m   0.1073m
      z    0.0311m    0.0883m   0.0168m
