mocap        : /home/roahm/go2_hopscotch_rl_controller/example/go2/low_level/xyz_go2.npz
run trace    : /home/roahm/go2_hopscotch_rl_controller/example/go2/low_level/data/kpg12_1499_kpg12_meta_kin_long_stride_20260818_181210/kpg12_1499_kpg12_meta_kin_long_stride_20260818_181210.npz
plan         : /home/roahm/go2_hopscotch_rl_controller/example/go2/low_level/hopscotch_utils/traj_hopscotch_friction_6cm_lsq.json
sync         : t0 4.221 s into the recording, correlation r 0.942
frame        : yaw +12.1 deg, zeroed on the first 0.2 s

                    apex z      gain  fwd travel
            plan   0.4564m   0.2260m     0.6003m
           vicon   0.4577m   0.2248m     1.2646m

   flight window   plan apex  vicon apex     delta
      0.40-0.70s     0.1999m     0.2068m  +0.0069m
      1.10-1.40s     0.2188m     0.2092m  -0.0097m
      1.90-2.20s     0.2260m     0.2248m  -0.0013m
      2.70-3.00s     0.2043m     0.2025m  -0.0018m

   axis    RMS err   max|err|     final
      x    0.4093m    0.6694m   0.6694m
      y    0.0849m    0.1391m   0.0368m
      z    0.0349m    0.0838m  -0.0008m
