t,q_actual_0,dq_actual_0,tau_est_0,q_cmd_0,q_ref_0,dq_ref_0,q_actual_1,dq_actual_1,tau_est_1,q_cmd_1,q_ref_1,dq_ref_1,q_actual_2,dq_actual_2,tau_est_2,q_cmd_2,q_ref_2,dq_ref_2,q_actual_3,dq_actual_3,tau_est_3,q_cmd_3,q_ref_3,dq_ref_3,q_actual_4,dq_actual_4,tau_est_4,q_cmd_4,q_ref_4,dq_ref_4,q_actual_5,dq_actual_5,tau_est_5,q_cmd_5,q_ref_5,dq_ref_5,q_actual_6,dq_actual_6,tau_est_6,q_cmd_6,q_ref_6,dq_ref_6,q_actual_7,dq_actual_7,tau_est_7,q_cmd_7,q_ref_7,dq_ref_7,q_actual_8,dq_actual_8,tau_est_8,q_cmd_8,q_ref_8,dq_ref_8,q_actual_9,dq_actual_9,tau_est_9,q_cmd_9,q_ref_9,dq_ref_9,q_actual_10,dq_actual_10,tau_est_10,q_cmd_10,q_ref_10,dq_ref_10,q_actual_11,dq_actual_11,tau_est_11,q_cmd_11,q_ref_11,dq_ref_11
0.02,0.032253,0.0697594,-1.88011,-0.132815,5.91319e-06,-0.0154655,0.989545,0.0155021,0.940055,1.04421,0.999993,-0.0768512,-2.09488,0,7.96573,-1.89557,-2.00003,0.241357,-0.0260461,-0.0232531,1.6822,0.127215,6.32001e-07,-0.0154415,0.971862,0,2.30066,1.02,0.999993,-0.0680804,-2.10107,-0.0222421,8.39246,-1.88633,-2.00002,0.277561,0.0894827,0,-5.73928,-0.225152,-2.57629e-06,0.0212137,0.994172,-0.0542573,0.470027,0.95653,1,0.077796,-2.10513,0.00606604,8.8192,-1.82449,-2,-0.068301,-0.087999,-0.00775105,5.44242,0.172457,7.81515e-07,0.0212362,0.991537,-0.0193776,0.593719,0.965899,0.999999,0.106311,-2.11434,-0.0323522,9.57784,-1.74615,-2.00001,-0.0712633
0.04,0.0292252,-0.271287,-3.1665,-0.0956253,-0.000303396,-0.0231184,0.99018,-0.170523,1.26165,1.03957,0.998456,-0.167821,-2.09472,0.111211,8.25022,-1.9419,-1.9952,0.324887,-0.0238358,0.18215,2.96859,0.0667144,-0.000308197,-0.0229695,0.969955,-0.124017,1.18744,1.03672,0.998631,-0.140069,-2.10053,0.0707704,9.05627,-1.9241,-1.99446,0.401741,0.088211,-0.151145,-6.38248,-0.190084,0.000421698,0.0676305,0.98966,-0.348797,-0.321598,0.955474,1.00156,0.0375807,-2.1026,0.404402,11.0003,-1.87042,-2.00137,-0.0893682,-0.0889074,-0.0387552,5.46716,0.111494,0.000425505,0.0677107,0.987934,-0.263536,-0.14843,0.994136,1.00212,0.114882,-2.10672,0.806783,13.4185,-1.80276,-2.00144,-0.109541
0.06,0.0309511,0.0155021,-2.647,-0.122168,-0.000918824,-0.0573982,0.987122,-0.201527,1.28639,0.979636,0.99328,-0.320549,-2.09589,0.0363962,6.3062,-1.90641,-1.98703,0.371146,-0.0259855,-0.217029,1.97906,0.0907369,-0.000918146,-0.0566866,0.966231,-0.279038,1.80589,1.03231,0.99439,-0.248249,-2.1011,-0.0242641,7.30192,-1.92294,-1.98395,0.510022,0.0877265,-0.217029,-5.54138,-0.17963,0.00270264,0.137685,0.982727,-0.410806,-0.173168,0.966732,1.0015,-0.0746936,-2.1002,0.319478,9.00886,-1.87648,-2.00357,-0.134826,-0.0933884,0.0116266,4.23025,0.108686,0.00270921,0.138142,0.981516,-0.325544,0.643195,0.993702,1.00459,0.105375,-2.10184,0.220399,11.8538,-1.84452,-2.00439,-0.2047
0.08,0.0276811,-0.205403,-2.94386,-0.12845,-0.00259932,-0.116095,0.980068,-0.201527,0.173168,0.989159,0.985634,-0.397743,-2.09503,-0.0161761,7.8709,-1.93671,-1.98035,0.234947,-0.0262277,-0.131768,2.54804,0.0656383,-0.00257566,-0.114322,0.960478,-0.25966,1.73168,1.03096,0.988701,-0.281359,-2.10113,-0.0202201,7.30192,-1.95348,-1.97406,0.395533,0.0830941,-0.29454,-5.19504,-0.163518,0.00592911,0.155176,0.976459,-0.228656,0,0.95466,0.99857,-0.186516,-2.09248,0.363962,8.29763,-1.90174,-2.00676,-0.21916,-0.095417,-0.116266,4.47763,0.108881,0.0059512,0.156587,0.971948,-0.352673,0.841102,1.01685,1.00634,0.0806749,-2.09674,0.220399,9.86233,-1.85214,-2.00962,-0.348651
0.1,0.0238358,-0.232531,-2.94386,-0.109625,-0.0055626,-0.158814,0.97813,-0.073635,0.321598,0.976788,0.97737,-0.39266,-2.09529,0.0505503,6.63811,-1.96013,-1.97763,-0.00888705,-0.0296794,-0.251909,2.20171,0.0556031,-0.00549102,-0.155908,0.956058,-0.189901,1.73168,1.02772,0.983136,-0.254495,-2.10135,-0.0384182,6.21137,-1.98028,-1.96812,0.144628,0.0785222,-0.228656,-4.72501,-0.159284,0.0089097,0.137153,0.971766,-0.251909,-0.0742148,0.966825,0.994044,-0.238948,-2.08946,0.0748145,7.68124,-1.91576,-2.01234,-0.365454,-0.0999284,-0.22478,4.62606,0.101381,0.0089727,0.139789,0.966558,-0.352673,1.36061,1.03341,1.00782,0.062719,-2.09096,0.264884,9.38818,-1.8711,-2.01834,-0.527245
0.12,0.0200511,-0.18215,-2.54804,-0.111422,-0.00895188,-0.149306,0.975132,-0.166648,0.14843,0.989442,0.969927,-0.332665,-2.09578,0.0485283,5.59497,-1.97754,-1.98071,-0.325307,-0.033888,-0.360424,2.12749,0.0535101,-0.00881197,-0.145619,0.953302,-0.124017,1.63273,1.03225,0.978522,-0.202805,-2.10175,0.0141541,5.07341,-1.9941,-1.96828,-0.184059,0.0732236,-0.197652,-4.62606,-0.163476,0.0114152,0.124203,0.969768,0.0193776,-0.0494766,0.952536,0.989012,-0.254942,-2.08891,0.0222421,7.2545,-1.93362,-2.02138,-0.539857,-0.103955,-0.131768,4.57658,0.105769,0.0115428,0.127553,0.96341,0.0232531,1.55851,1.03011,1.00885,0.0213504,-2.0897,0.0283082,9.10369,-1.87548,-2.03071,-0.687444
0.14,0.0149645,-0.313917,-2.30066,-0.0977207,-0.0115348,-0.0883511,0.974375,0.0155021,0.272121,0.996198,0.964064,-0.250499,-2.09699,-0.113233,5.26307,-1.99811,-1.99065,-0.661185,-0.0404279,-0.32942,2.20171,0.0543844,-0.0113158,-0.084358,0.952576,-0.00775105,1.70694,1.02373,0.975024,-0.152044,-2.10257,-0.0667264,4.50443,-2.01242,-1.97549,-0.524917,0.0691967,-0.120141,-4.67554,-0.177124,0.0138778,0.133138,0.966861,-0.333295,-0.0247383,0.995583,0.983846,-0.263865,-2.08949,-0.0101101,6.49586,-1.92618,-2.03394,-0.689477,-0.108527,-0.263536,4.70027,0.127312,0.0140748,0.136144,0.962622,0.073635,1.45956,1.04818,1.00867,-0.0560582,-2.08995,-0.0202201,8.8192,-1.86809,-2.04584,-0.783175
0.16,0.0105137,-0.279038,-2.07802,-0.0900375,-0.0124859,-0.00547105,0.973376,-0.120141,0.470027,1.02537,0.959908,-0.17314,-2.10066,-0.28106,4.88375,-2.01404,-2.00716,-0.943899,-0.0440309,-0.170523,2.22645,0.0443698,-0.0121863,-0.00158718,0.951304,-0.0348797,1.58325,1.01991,0.97244,-0.114411,-2.10394,-0.123343,3.98286,-2.0288,-1.98928,-0.806555,0.066835,-0.0581329,-4.94766,-0.17892,0.0167408,0.154395,0.968072,-0.174399,0.643195,1.02068,0.978457,-0.28109,-2.08973,-0.00808805,6.87518,-1.92956,-2.04896,-0.761312,-0.110949,0,4.94766,0.151813,0.0169885,0.156116,0.962532,-0.0542573,1.92959,1.08522,1.00661,-0.157019,-2.09007,-0.0303302,9.10369,-1.85723,-2.06204,-0.784904
0.18,0.00781902,-0.0503818,-1.92959,-0.0786661,-0.0117537,0.0629939,0.972589,-0.0193776,1.06375,1.02973,0.957138,-0.117104,-2.1083,-0.416535,4.78892,-2.02548,-2.0284,-1.10487,-0.0462715,-0.0310042,1.88011,0.04593,-0.0113793,0.0664864,0.949215,-0.0348797,1.58325,1.01122,0.970447,-0.0920579,-2.10622,-0.111211,3.31905,-2.04082,-2.00775,-0.968188,0.0669562,0.0930126,-5.19504,-0.187898,0.0200536,0.167762,0.965801,-0.251909,1.31113,1.06196,0.972603,-0.309342,-2.0903,-0.0283082,6.87518,-1.91983,-2.06439,-0.715148,-0.108921,0.124017,5.24452,0.171534,0.0203195,0.167911,0.961653,-0.089137,2.72121,1.10232,1.00239,-0.25823,-2.08993,0,9.62525,-1.86368,-2.07723,-0.678265
0.2,0.00733458,0.0193776,-1.80589,-0.0790089,-0.00996617,0.0924633,0.971923,-0.0310042,1.18744,1.04446,0.955223,-0.0870168,-2.11551,-0.473151,4.83633,-2.03077,-2.05135,-1.10295,-0.0469073,-0.0581329,1.88011,0.0465694,-0.00952684,0.0954732,0.947761,0.0232531,1.31113,1.00547,0.968758,-0.0810698,-2.10894,-0.184003,3.12939,-2.04891,-2.028,-0.975227,0.0691361,0.201527,-5.56611,-0.19071,0.0234512,0.158461,0.964045,-0.127892,2.15223,1.07528,0.966083,-0.344017,-2.0906,-0.0202201,7.2545,-1.91724,-2.07756,-0.534928,-0.105257,0.213154,5.66507,0.192685,0.023705,0.157487,0.960624,-0.0581329,3.06755,1.14183,0.996277,-0.339055,-2.08995,-0.00606604,9.29335,-1.83906,-2.08917,-0.464773
